# Column 1: log10 H2 [Msun/pc2]
# Column 2: log10 SFR [Msun/yr/kpc2]
# Column 3: Reference
0.98226845 -2.4362304 HERACLES
1.0728623 -2.2102547 HERACLES
1.1250007 -2.1194355 HERACLES
1.1075159 -2.2141967 HERACLES
1.1255773 -2.2416890 HERACLES
1.0984700 -2.2458425 HERACLES
1.0320364 -2.3583632 HERACLES
0.98650062 -2.4322371 HERACLES
1.0166634 -2.3606055 HERACLES
1.1251006 -2.1549962 HERACLES
1.1728960 -2.0773156 HERACLES
0.94092381 -2.3414667 HERACLES
0.73566604 -2.5017765 HERACLES
0.79922694 -2.2809134 HERACLES
0.86494464 -2.2112880 HERACLES
0.90677863 -2.3291085 HERACLES
0.84263706 -2.5849550 HERACLES
0.73005372 -2.7340889 HERACLES
0.57814062 -2.8585792 HERACLES
0.65664482 -2.9641082 HERACLES
0.74942917 -2.7337987 HERACLES
0.87076116 -2.4599824 HERACLES
1.0266105 -2.3404446 HERACLES
1.1326476 -2.3301802 HERACLES
1.2260658 -2.2361698 HERACLES
1.2240638 -2.2185457 HERACLES
1.2313093 -2.2689562 HERACLES
1.2717805 -2.2695799 HERACLES
1.2782627 -2.2842903 HERACLES
1.2046437 -2.3132553 HERACLES
1.0741816 -2.3405983 HERACLES
1.1224394 -2.2591951 HERACLES
1.2568773 -2.0643752 HERACLES
1.1821696 -2.1117411 HERACLES
0.89966673 -2.4119983 HERACLES
0.74176520 -2.5349910 HERACLES
0.67316055 -2.4677217 HERACLES
0.71430290 -2.5935564 HERACLES
0.82949758 -2.7172654 HERACLES
0.82777280 -2.6154535 HERACLES
0.69368005 -2.5596778 HERACLES
0.60281706 -2.6017771 HERACLES
0.46194318 -2.8921010 HERACLES
0.57679361 -2.9060049 HERACLES
0.66011828 -2.8889582 HERACLES
0.73935354 -2.7241809 HERACLES
0.92015570 -2.3666492 HERACLES
1.1233660 -2.1271479 HERACLES
1.1884294 -2.2128170 HERACLES
1.2089950 -2.4186213 HERACLES
1.2579198 -2.3260946 HERACLES
1.2775331 -2.2963064 HERACLES
1.3026514 -2.3472757 HERACLES
1.3195884 -2.3168643 HERACLES
1.3193107 -2.2567098 HERACLES
1.2365315 -2.2217381 HERACLES
1.1316825 -2.3262520 HERACLES
1.2203811 -2.2449501 HERACLES
1.2704147 -2.0761402 HERACLES
1.0911368 -2.2545145 HERACLES
0.84162837 -2.6038508 HERACLES
0.48037580 -2.7957933 HERACLES
0.57643616 -2.9524324 HERACLES
0.75489044 -2.7887936 HERACLES
0.66390306 -2.5930097 HERACLES
0.51219910 -2.4649193 HERACLES
0.51567739 -2.5793278 HERACLES
0.63284576 -2.9205244 HERACLES
0.65677547 -2.8212225 HERACLES
0.64592040 -2.8129351 HERACLES
0.72350287 -2.6741970 HERACLES
0.92526817 -2.3936319 HERACLES
1.1922696 -2.0780025 HERACLES
1.2920556 -2.0027728 HERACLES
1.2029191 -2.2986138 HERACLES
1.2197959 -2.3652771 HERACLES
