Ref,logLIR,logLHCN,Type
Wu10             ,3.16000,0.480000, I 
Wu10             ,4.78000,1.74000, I 
Wu10             ,3.47000,0.650000, I 
Wu10             ,4.78000,2.02000, I 
Wu10             ,3.96000,1.23000, I 
Wu10             ,2.43000,0.410000, I 
Wu10             ,3.56000,0.990000, I 
Wu10             ,2.97000,0.630000, I 
Wu10             ,1.95000,0.110000, I 
Wu10             ,4.73000,2.01000, I 
